,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
7,ID8num_kernels500_n_estimators20,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=500_n_estimators_20,500,20.0,0.8608654563187935,1.4074478559920753,1.173203805938514,0.040169086993656636,0.3968140893536893,0.17618367042226346,1983283.2,4.474397971807048,4279575.1295229485,0.13223515691621285
5,ID6max_alpha10_window_size0.5,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=10_window_size_0.5,10,0.5,0.8596530363357159,1.4320512679367083,1.1876885776706794,0.028364128442956354,0.344412026503603,0.14644831991971327,1069875.2,10.352665526373311,116328902.90021724,0.15925338739030795
8,ID9num_kernels1000_n_estimators300,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=1000_n_estimators_300,1000,300.0,0.8578583425152733,1.4309809097063724,1.1909293978821796,0.032966865924351475,0.28404726800218244,0.1125525609053909,-2234777.6,76.11210988983512,5842234.71581379,0.29125680558444944
0,ID1n_estimators300_window_size0.5,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_0.5,300,0.5,0.8574528653189019,1.4406229489988551,1.1919483703917229,0.030528306653396387,0.34342957579353195,0.141003657113464,39333888.0,17.579687528638168,76847466.90607485,0.15325137700831526
5,ID6num_kernels500_n_estimators150,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=500_n_estimators_150,500,150.0,0.8567608874914588,1.4517613975081258,1.1995215106792254,0.027462784523813663,0.2833603438841747,0.11362016953848844,1557299.2,18.291284391609953,4070270.363399778,0.22061930552880837
2,ID3n_estimators300_window_size2.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_2.0,300,2.0,0.8554911565327877,1.459423638304706,1.2006185656028385,0.030050127397567537,0.3232080487969201,0.13393542561431782,11768627.2,9.217088989028706,8090818.919246738,0.1114740858762446
1,ID2n_estimators300_window_size1.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_1.0,300,1.0,0.8540768407120398,1.480925040994642,1.212124474947368,0.021256489377967237,0.27436224538062454,0.10807080192267102,4159897.6,12.015310807619244,11057829.909324408,0.1449394372484192
0,ID1max_alpha5_window_size0.5,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=5_window_size_0.5,5,0.5,0.8511937194075803,1.5065626289666088,1.2184739588634705,0.03488627731629874,0.3420238604464937,0.14793187803239008,52659814.4,10.45063673662953,62533138.66977213,0.1580714071050305
12,ID13num_kernels2000_n_estimators300,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=2000_n_estimators_300,2000,300.0,0.851080247626282,1.4780671013510616,1.2075569109226634,0.04273982473881515,0.33224098472531277,0.14097307627336553,5197824.0,162.47776849577204,9972911.662976986,0.6405842818978715
4,ID5num_kernels500_n_estimators300,ETERRY-Human1Dist_MiniRocket_GradBoost_num_kernels=500_n_estimators_300,500,300.0,0.8476215069420967,1.5300444214310835,1.236003757976719,0.014929669407494978,0.11844245104239574,0.04836457069500648,4653056.0,33.84038787737954,7144695.431805389,0.10119932651844168
