,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,timediff_mean
25,ID26n_estimators25_window_size1.0,Mycobot-Fourjoints_TSForest_n_estimators=25_window_size_1.0,25,1.0,0.6745868023881816,0.008293383912797166,0.09081439462081198,0.0643168467946485,0.0012512851821385854,0.006791880627087188,0.0,5.430848654800139
0,ID1n_epochs200_kernel_size40,Mycobot-Fourjoints_InceptionTime_n_epochs=200_kernel_size_40,200,40.0,0.6677285010772598,0.008672259550949562,0.09281699931789741,0.04770891229898112,0.0013501339586643646,0.007567310524287503,0.0,179.79010768359984
31,ID32n_estimators5_window_size1.0,Mycobot-Fourjoints_TSForest_n_estimators=5_window_size_1.0,5,1.0,0.6674236965699741,0.00876578063947783,0.09276000196797458,0.06679723794809182,0.0021388578216984364,0.012702860873802515,0.0,4.711128615199778
22,ID23n_estimators50_window_size10.0,Mycobot-Fourjoints_TSForest_n_estimators=50_window_size_10.0,50,10.0,0.6668919723511755,0.008526342816141435,0.0918363875114343,0.08595747336050907,0.0017259174544239475,0.009613570876168107,0.0,6.264865922599893
33,ID34n_estimators5_window_size5.0,Mycobot-Fourjoints_TSForest_n_estimators=5_window_size_5.0,5,5.0,0.6617282748291355,0.008755466191183232,0.09231574757212409,0.10899404566150958,0.0028083227663552356,0.015273144449755582,0.0,4.6429189202001
16,ID17n_estimators100_window_size10.0,Mycobot-Fourjoints_TSForest_n_estimators=100_window_size_10.0,100,10.0,0.6574422524527741,0.008931386901858672,0.09310718765456774,0.11033445864166053,0.0028676831837671753,0.016199953978816777,0.0,7.857107954200364
32,ID33n_estimators5_window_size2.0,Mycobot-Fourjoints_TSForest_n_estimators=5_window_size_2.0,5,2.0,0.6451171924033092,0.009274568179775575,0.09538686257307816,0.08066778078393479,0.0024847772446317767,0.013263281201884835,0.0,4.669074947000081
35,ID36n_estimators5_window_size20.0,Mycobot-Fourjoints_TSForest_n_estimators=5_window_size_20.0,5,20.0,0.6319830129105538,0.009690139612445924,0.09740368538443875,0.08070832598844566,0.002508549338242062,0.014235929403280844,0.0,4.712140264199843
5,ID6n_estimators5_window_size0.3,Mycobot-Fourjoints_TSForest_n_estimators=5_window_size_0.3,5,0.3,0.6256158587859459,0.009805669543272503,0.09782858968734502,0.10637392629512735,0.0031536405692822833,0.015337424264119246,0.0,4.507610890600063
12,ID13num_kernels500_n_estimators300,Mycobot-Fourjoints_MiniRocket_GradBoost_num_kernels=500_n_estimators_300,500,300.0,0.6206938614336972,0.009927636928776799,0.09913714229682788,0.06028802068344837,0.001923978146140253,0.009973161283930986,0.0,22.024808412200038
14,ID15num_kernels500_n_estimators100,Mycobot-Fourjoints_MiniRocket_GradBoost_num_kernels=500_n_estimators_100,500,100.0,0.6176084636861144,0.010009827567916319,0.09944319645386127,0.0731642218487142,0.0022742425839426166,0.010994464377816345,0.0,9.234135184800015
13,ID14num_kernels500_n_estimators200,Mycobot-Fourjoints_MiniRocket_GradBoost_num_kernels=500_n_estimators_200,500,200.0,0.6138055226310335,0.00999615640639669,0.0992847766248235,0.0798486749809491,0.0023615903327972435,0.011776652196426332,0.0,15.622864262799975
3,ID4n_estimators200_min_samples_split2,Mycobot-FourjointsTSFreshWin_GradBoost_n_estimators=200_min_samples_split_2,200,2.0,0.6127734217574023,0.010066072550677685,0.10018790943429737,0.015745288686631054,0.001080242111022523,0.005334355993249685,0.0,8.820804550800016
8,ID9num_kernels200_n_estimators100,Mycobot-Fourjoints_MiniRocket_GradBoost_num_kernels=200_n_estimators_100,200,100.0,0.6077928168235699,0.010249902004643666,0.10096114033354815,0.0249506192260663,0.0015761396233233882,0.007533269356213453,0.0,5.077237762799905
2,ID3n_estimators300_min_samples_split4,Mycobot-FourjointsTSFreshWin_GradBoost_n_estimators=300_min_samples_split_4,300,4.0,0.6074952169607031,0.010207370849032857,0.10070918537898862,0.05247013906565007,0.0016794276158305973,0.008064169475733872,0.0,8.987974675400006
19,ID20num_kernels1000_n_estimators200,Mycobot-Fourjoints_MiniRocket_GradBoost_num_kernels=1000_n_estimators_200,1000,200.0,0.6066614419793408,0.010296408957894954,0.10110407361610663,0.04940150149146996,0.0017577453617165222,0.008624109004636121,0.0,34.28825034960009
